Crop	N	P	K	Temperature	humidity	pH	Rainfall	State	Season	Price
cotton	129	43	16	26	77.85055621	6.73210948	79	Karnataka	Post-Monsoon	25.34
cotton	129	43	16	26	77.85055621	6.73210948	79	Karnataka	Zaid	11.63
cotton	117	43	25	25	78.51206972	7.839849298	69	Punjab	Zaid	4.7
cotton	126	37	21	26	84.16855231	6.61448588	77	Karnataka	Rabi	85.93
cotton	131	56	20	22	81.83896111	7.762647875	92	Punjab	Zaid	13.43
cotton	131	56	20	22	81.83896111	7.762647875	92	Karnataka	Post-Monsoon	142.13
cotton	106	46	20	23	78.63388824	6.200671976	81	Karnataka	Rabi	141.17
jute	63	41	45	25	86.8870535	7.121933579	197	Karnataka	Rabi	63.91
jute	96	41	40	24	72.00460848	6.090060478	190	Uttar Pradesh	Kharif	101.52
jute	96	41	40	24	72.00460848	6.090060478	190	Karnataka	Kharif	281.29
jute	60	55	40	25	88.95692783	7.02777956	151	Maharashtra	Post-Monsoon	61.22
jute	60	55	40	25	88.95692783	7.02777956	151	West Bengal	Zaid	159.69
jute	67	43	38	25	70.88259632	7.299304715	196	West Bengal	Kharif	154.36
jute	70	38	35	24	79.26861738	7.014063944	164	Maharashtra	Kharif	299.54
jute	70	38	35	24	79.26861738	7.014063944	164	Karnataka	Zaid	46.06
jute	74	49	38	23	71.4509053	7.488014404	164	West Bengal	Zaid	142.04
jute	80	45	42	23	74.99739774	7.380396262	152	West Bengal	Post-Monsoon	141.24
jute	69	47	40	25	76.2403666	6.130136384	184	Tamil Nadu	Post-Monsoon	24.42
jute	69	47	40	25	76.2403666	6.130136384	184	Karnataka	Post-Monsoon	283.18
jute	82	40	45	26	81.70476368	6.667633355	180	Karnataka	Kharif	247.52
jute	81	36	38	24	87.98329901	6.334837865	150	Karnataka	Rabi	11.27
jute	67	60	38	25	78.53037059	7.16214284	162	Maharashtra	Zaid	51.83
jute	67	60	38	25	78.53037059	7.16214284	162	Maharashtra	Zaid	74.15
jute	67	60	38	25	78.53037059	7.16214284	162	Karnataka	Rabi	150.93
jute	66	47	36	25	74.4407048	6.57256106	176	Punjab	Zaid	136.97
jute	66	47	36	25	74.4407048	6.57256106	176	Karnataka	Kharif	15.91
jute	89	52	45	25	77.01222585	7.207457208	196	West Bengal	Kharif	154.36
jute	77	51	44	23	82.7015932	7.124333547	166	Maharashtra	Post-Monsoon	26.58
jute	94	37	41	25	87.06071115	6.463538707	179	Karnataka	Post-Monsoon	99.51
jute	82	48	36	26	81.76904006	6.352076783	193	Karnataka	Kharif	19.76
jute	100	58	41	23	87.88255345	6.658769991	161	Punjab	Zaid	96.1
jute	67	41	40	26	87.81661683	7.333143205	153	Karnataka	Kharif	112.57
jute	61	41	44	24	82.11319791	6.537914958	160	Uttar Pradesh	Rabi	104.15
jute	61	41	44	24	82.11319791	6.537914958	160	Karnataka	Kharif	85.4
jute	77	48	36	26	84.09985284	7.36008498	155	Karnataka	Zaid	139.45
jute	61	41	35	25	79.47557931	6.842966479	196	West Bengal	Kharif	154.36
jute	99	57	38	25	82.09281674	6.356295568	156	Uttar Pradesh	Zaid	80.02
jute	71	56	37	23	86.20899734	6.491506245	176	Uttar Pradesh	Rabi	105.62
jute	65	54	39	24	71.14782585	7.124571593	160	Uttar Pradesh	Rabi	104.15
jute	65	54	39	24	71.14782585	7.124571593	160	Karnataka	Kharif	85.4
jute	60	58	37	26	79.1188943	6.067302109	171	West Bengal	Zaid	31.43
jute	86	39	43	26	71.23690851	6.432051512	193	Karnataka	Kharif	19.76
jute	90	50	44	27	73.48655995	6.253408852	171	Tamil Nadu	Post-Monsoon	14.24
jute	90	50	44	27	73.48655995	6.253408852	171	West Bengal	Zaid	147.84
jute	87	48	38	24	80.94023552	7.161865733	190	Uttar Pradesh	Kharif	101.52
jute	87	48	38	24	80.94023552	7.161865733	190	Karnataka	Kharif	281.29
jute	82	46	41	23	79.79609448	6.581693772	187	Maharashtra	Kharif	200.42
jute	71	52	43	26	73.96164569	6.732826127	180	Karnataka	Kharif	247.52
jute	80	43	43	24	74.36794079	6.014572075	173	Karnataka	Rabi	174.43
jute	80	43	43	24	74.36794079	6.014572075	173	Karnataka	Post-Monsoon	258.05
jute	77	55	43	25	75.99987588	6.663559451	194	Karnataka	Zaid	256.01
jute	93	43	38	24	86.14290267	6.987332927	150	Karnataka	Rabi	11.27
jute	88	52	39	24	88.07112278	6.880204617	155	Maharashtra	Rabi	184.19
jute	90	39	43	24	82.286484	6.7693455	191	Punjab	Rabi	164.82
coffee	107	21	26	26	55.32222678	7.235070264	145	Maharashtra	Zaid	129.94
coffee	107	21	26	26	55.32222678	7.235070264	145	Tamil Nadu	Kharif	149.74
coffee	83	38	35	26	52.88667115	7.18915558	137	West Bengal	Kharif	10.71
coffee	116	28	34	23	60.39523266	6.42321105	122	Maharashtra	Rabi	251.4
coffee	116	28	34	23	60.39523266	6.42321105	122	Maharashtra	Rabi	48.5
coffee	85	33	25	26	52.50987966	6.910823945	189	Karnataka	Zaid	277.54
coffee	81	30	31	25	51.93952357	7.027585559	135	Karnataka	Kharif	10.32
coffee	81	30	31	25	51.93952357	7.027585559	135	Karnataka	Kharif	212.83
coffee	81	34	30	25	62.26244581	6.647765997	135	Karnataka	Kharif	10.32
coffee	81	34	30	25	62.26244581	6.647765997	135	Karnataka	Kharif	212.83
coffee	83	21	28	26	60.49244602	7.466900683	190	West Bengal	Zaid	121.17
coffee	86	26	27	27	52.89368299	6.081172981	192	Punjab	Rabi	117.59
coffee	103	27	31	27	51.59100753	6.691541233	126	Punjab	Post-Monsoon	315.89
coffee	120	40	33	24	54.30329632	6.73410539	115	Maharashtra	Post-Monsoon	72.82
coffee	98	29	30	26	61.03273481	6.217974349	199	Karnataka	Rabi	95.01
coffee	97	29	27	28	54.36976075	7.205078785	140	Maharashtra	Post-Monsoon	62.87
coffee	103	33	25	27	55.7497332	6.911066044	140	Karnataka	Zaid	74.04
coffee	99	19	33	28	55.51673151	6.273741983	131	Maharashtra	Post-Monsoon	151.03
coffee	100	40	35	28	54.41094079	6.955787351	178	West Bengal	Rabi	67.39
coffee	82	24	26	24	53.57285558	6.089443603	184	Tamil Nadu	Post-Monsoon	1.31
coffee	87	28	35	27	57.1621814	6.759211911	152	Karnataka	Zaid	78.45
coffee	111	28	26	28	64.47858698	6.937352845	193	Maharashtra	Zaid	59.29
coffee	116	40	33	25	54.15319242	7.042089492	130	Punjab	Post-Monsoon	161.67
coffee	116	40	33	25	54.15319242	7.042089492	130	West Bengal	Kharif	160.19
coffee	95	37	35	27	68.4233391	6.348337519	192	Punjab	Rabi	117.59
coffee	105	18	35	24	68.44030686	6.743417121	172	Uttar Pradesh	Rabi	26.28
coffee	105	18	35	24	68.44030686	6.743417121	172	West Bengal	Kharif	130.34
coffee	80	18	31	24	58.84880599	7.303033217	135	Karnataka	Post-Monsoon	299.32
coffee	107	38	29	27	57.56695719	6.35118177	145	Karnataka	Kharif	157.55
coffee	107	31	31	23	52.97841162	6.766184468	153	Karnataka	Post-Monsoon	102.11
coffee	118	31	34	28	62.88179198	6.123796057	181	Tamil Nadu	Zaid	59.76
coffee	106	21	35	26	57.04151119	7.428523634	189	Karnataka	Zaid	277.54
coffee	116	38	34	23	50.04557009	6.020947179	183	Tamil Nadu	Kharif	243.36
coffee	107	34	32	27	66.4132686	6.78006386	178	Karnataka	Zaid	22.47
coffee	104	18	30	24	60.39647474	6.779832611	141	Uttar Pradesh	Rabi	168.24

